Location,WHO region,Period,FactValueNumeric,Comments,ParentLocation
Sierra Leone,,2000,2480.0,,Africa
South Sudan,,2000,1730.0,,Africa
Somalia,,2000,1210.0,,Eastern Mediterranean
Afghanistan,,2000,1450.0,,Eastern Mediterranean
Central African Republic,,2000,1280.0,,Africa
Eritrea,,2000,1280.0,,Africa
Chad,,2000,1420.0,,Africa
Guinea-Bissau,,2000,1210.0,,Africa
Nigeria,,2000,1200.0,,Africa
Rwanda,,2000,1160.0,,Africa
Burundi,,2000,1010.0,,Africa
Ethiopia,,2000,1030.0,,Africa
Gambia,,2000,932.0,,Africa
Guinea,,2000,1020.0,,Africa
Angola,,2000,827.0,,Africa
Liberia,,2000,894.0,,Africa
Mauritania,,2000,834.0,,Africa
Cameroon,,2000,886.0,,Africa
United Republic of Tanzania,,2000,854.0,,Africa
Mozambique,,2000,798.0,,Africa
Niger,,2000,813.0,,Africa
Democratic Republic of the Congo,,2000,760.0,,Africa
Mali,,2000,836.0,,Africa
Timor-Leste,,2000,745.0,,South-East Asia
Djibouti,,2000,507.0,,Eastern Mediterranean
Congo,,2000,739.0,,Africa
Malawi,,2000,749.0,,Africa
C̫te d'Ivoire,,2000,704.0,,Africa
Kenya,,2000,708.0,,Africa
Sudan,,2000,667.0,,Eastern Mediterranean
Lesotho,,2000,614.0,,Africa
Eswatini,,2000,521.0,,Africa
Nepal,,2000,553.0,,South-East Asia
Uganda,,2000,578.0,,Africa
Senegal,,2000,553.0,,Africa
Madagascar,,2000,559.0,,Africa
Equatorial Guinea,,2000,454.0,,Africa
Lao People's Democratic Republic,,2000,544.0,,Western Pacific
Zimbabwe,,2000,579.0,,Africa
Comoros,,2000,444.0,,Africa
Burkina Faso,,2000,516.0,,Africa
Ghana,,2000,484.0,,Africa
Benin,,2000,520.0,,Africa
Togo,,2000,489.0,,Africa
Zambia,,2000,528.0,,Africa
Cambodia,,2000,488.0,,Western Pacific
Bangladesh,,2000,434.0,,South-East Asia
Haiti,,2000,437.0,,Americas
Bhutan,,2000,423.0,,South-East Asia
Gabon,,2000,380.0,,Africa
Papua New Guinea,,2000,249.0,,Western Pacific
Myanmar,,2000,340.0,,South-East Asia
India,,2000,370.0,,South-East Asia
Namibia,,2000,348.0,,Africa
Pakistan,,2000,286.0,,Eastern Mediterranean
Bolivia (Plurinational State of),,2000,331.0,,Americas
Yemen,,2000,301.0,,Eastern Mediterranean
Solomon Islands,,2000,245.0,,Western Pacific
Indonesia,,2000,272.0,,South-East Asia
Botswana,,2000,262.0,,Africa
Micronesia (Federated States of),,2000,154.0,,Western Pacific
Guyana,,2000,231.0,,Americas
Democratic People's Republic of Korea,,2000,139.0,,South-East Asia
Sao Tome and Principe,,2000,179.0,,Africa
Suriname,,2000,221.0,,Americas
Vanuatu,,2000,140.0,,Western Pacific
Morocco,,2000,188.0,,Eastern Mediterranean
Algeria,,2000,161.0,,Africa
Nicaragua,,2000,162.0,,Americas
Kiribati,,2000,136.0,,Western Pacific
South Africa,,2000,160.0,,Africa
Philippines,,2000,160.0,,Western Pacific
Mongolia,,2000,155.0,,Western Pacific
Guatemala,,2000,161.0,,Americas
Samoa,,2000,88.0,,Western Pacific
Peru,,2000,144.0,,Americas
Maldives,,2000,125.0,,South-East Asia
Cabo Verde,,2000,118.0,,Africa
Tonga,,2000,77.0,,Western Pacific
Venezuela (Bolivarian Republic of),,2000,119.0,,Americas
Ecuador,,2000,122.0,,Americas
Libya,,2000,70.0,,Eastern Mediterranean
Saint Lucia,,2000,86.0,,Americas
Panama,,2000,91.0,,Americas
Belize,,2000,89.0,,Americas
Saint Vincent and the Grenadines,,2000,80.0,,Americas
Iraq,,2000,79.0,,Eastern Mediterranean
Colombia,,2000,94.0,,Americas
Honduras,,2000,85.0,,Americas
Trinidad and Tobago,,2000,81.0,,Americas
Bahamas,,2000,75.0,,Americas
Seychelles,,2000,53.0,,Africa
Kyrgyzstan,,2000,79.0,,Europe
Viet Nam,,2000,68.0,,Western Pacific
Jordan,,2000,70.0,,Eastern Mediterranean
Dominican Republic,,2000,80.0,,Americas
Tunisia,,2000,66.0,,Eastern Mediterranean
Jamaica,,2000,77.0,,Americas
El Salvador,,2000,73.0,,Americas
Argentina,,2000,66.0,,Americas
Egypt,,2000,64.0,,Eastern Mediterranean
Mauritius,,2000,59.0,,Africa
Brazil,,2000,69.0,,Americas
Kazakhstan,,2000,61.0,,Europe
Barbados,,2000,50.0,,Americas
China,,2000,59.0,,Western Pacific
Russian Federation,,2000,56.0,,Europe
Romania,,2000,54.0,,Europe
Tajikistan,,2000,53.0,,Europe
Antigua and Barbuda,,2000,44.0,,Americas
Sri Lanka,,2000,56.0,,South-East Asia
Fiji,,2000,51.0,,Western Pacific
Mexico,,2000,55.0,,Americas
Iran (Islamic Republic of),,2000,48.0,,Eastern Mediterranean
Turkey,,2000,42.0,,Europe
Azerbaijan,,2000,47.0,,Europe
Grenada,,2000,38.0,,Americas
Republic of Moldova,,2000,44.0,,Europe
Cuba,,2000,46.0,,Americas
Armenia,,2000,43.0,,Europe
Thailand,,2000,43.0,,South-East Asia
Uzbekistan,,2000,41.0,,Europe
Costa Rica,,2000,40.0,,Americas
Malaysia,,2000,38.0,,Western Pacific
Ukraine,,2000,35.0,,Europe
Latvia,,2000,34.0,,Europe
Lebanon,,2000,28.0,,Eastern Mediterranean
Chile,,2000,31.0,,Americas
Georgia,,2000,31.0,,Europe
Estonia,,2000,29.0,,Europe
Brunei Darussalam,,2000,28.0,,Western Pacific
Turkmenistan,,2000,29.0,,Europe
Bahrain,,2000,27.0,,Eastern Mediterranean
Saudi Arabia,,2000,24.0,,Eastern Mediterranean
Syrian Arab Republic,,2000,26.0,,Eastern Mediterranean
Albania,,2000,23.0,,Europe
Uruguay,,2000,26.0,,Americas
Belarus,,2000,22.0,,Europe
Bosnia and Herzegovina,,2000,17.0,,Europe
Bulgaria,,2000,19.0,,Europe
Oman,,2000,20.0,,Eastern Mediterranean
Cyprus,,2000,14.0,,Europe
Hungary,,2000,16.0,,Europe
Lithuania,,2000,17.0,,Europe
Qatar,,2000,14.0,,Eastern Mediterranean
Montenegro,,2000,12.0,,Europe
Republic of Korea,,2000,17.0,,Western Pacific
North Macedonia,,2000,13.0,,Europe
Singapore,,2000,13.0,,Western Pacific
Serbia,,2000,13.0,,Europe
Netherlands,,2000,13.0,,Europe
Luxembourg,,2000,10.0,,Europe
New Zealand,,2000,12.0,,Western Pacific
Slovenia,,2000,12.0,,Europe
Malta,,2000,9.0,,Europe
Croatia,,2000,11.0,,Europe
Kuwait,,2000,10.0,,Eastern Mediterranean
United States of America,,2000,12.0,,Americas
United Kingdom of Great Britain and Northern Ireland,,2000,10.0,,Europe
Portugal,,2000,10.0,,Europe
Canada,,2000,9.0,,Americas
France,,2000,10.0,,Europe
Japan,,2000,9.0,,Western Pacific
Slovakia,,2000,8.0,,Europe
United Arab Emirates,,2000,6.0,,Eastern Mediterranean
Belgium,,2000,8.0,,Europe
Switzerland,,2000,7.0,,Europe
Denmark,,2000,8.0,,Europe
Ireland,,2000,7.0,,Europe
Poland,,2000,7.0,,Europe
Iceland,,2000,6.0,,Europe
Germany,,2000,7.0,,Europe
Israel,,2000,7.0,,Europe
Czechia,,2000,7.0,,Europe
Australia,,2000,7.0,,Western Pacific
Austria,,2000,6.0,,Europe
Norway,,2000,6.0,,Europe
Finland,,2000,6.0,,Europe
Sweden,,2000,5.0,,Europe
Spain,,2000,5.0,,Europe
Italy,,2000,4.0,,Europe
Greece,,2000,3.0,,Europe
Paraguay,,2000,165.0,,Americas