Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation
Afghanistan,,,2019,Both sexes,881.2331,,Eastern Mediterranean
Angola,,,2019,Both sexes,621.198,,Africa
Albania,,,2019,Both sexes,601.9095,,Europe
United Arab Emirates,,,2019,Both sexes,528.3586,,Eastern Mediterranean
Argentina,,,2019,Both sexes,435.1655,,Americas
Armenia,,,2019,Both sexes,525.8599,,Europe
Antigua and Barbuda,,,2019,Both sexes,501.1122,,Americas
Australia,,,2019,Both sexes,278.5359,,Western Pacific
Austria,,,2019,Both sexes,329.3742,,Europe
Azerbaijan,,,2019,Both sexes,839.4475,,Europe
Burundi,,,2019,Both sexes,651.5939,,Africa
Belgium,,,2019,Both sexes,319.4781,,Europe
Benin,,,2019,Both sexes,634.4233,,Africa
Burkina Faso,,,2019,Both sexes,647.7739,,Africa
Bangladesh,,,2019,Both sexes,473.6921,,South-East Asia
Bulgaria,,,2019,Both sexes,616.4898,,Europe
Bahrain,,,2019,Both sexes,644.3488,,Eastern Mediterranean
Bahamas,,,2019,Both sexes,532.2753,,Americas
Bosnia and Herzegovina,,,2019,Both sexes,550.9266,,Europe
Belarus,,,2019,Both sexes,607.9959,,Europe
Belize,,,2019,Both sexes,451.3149,,Americas
Bolivia (Plurinational State of),,,2019,Both sexes,583.2935,,Americas
Brazil,,,2019,Both sexes,424.4876,,Americas
Barbados,,,2019,Both sexes,475.9204,,Americas
Brunei Darussalam,,,2019,Both sexes,629.4689,,Western Pacific
Bhutan,,,2019,Both sexes,545.5936,,South-East Asia
Botswana,,,2019,Both sexes,728.2663,,Africa
Central African Republic,,,2019,Both sexes,911.1475,,Africa
Canada,,,2019,Both sexes,301.3001,,Americas
Switzerland,,,2019,Both sexes,269.5769,,Europe
Chile,,,2019,Both sexes,328.526,,Americas
China,,,2019,Both sexes,491.525,,Western Pacific
C̫te d'Ivoire,,,2019,Both sexes,618.1413,,Africa
Cameroon,,,2019,Both sexes,660.5367,,Africa
Democratic Republic of the Congo,,,2019,Both sexes,652.8545,,Africa
Congo,,,2019,Both sexes,642.8678,,Africa
Colombia,,,2019,Both sexes,326.0131,,Americas
Comoros,,,2019,Both sexes,577.9128,,Africa
Cabo Verde,,,2019,Both sexes,512.8106,,Africa
Costa Rica,,,2019,Both sexes,309.2164,,Americas
Cuba,,,2019,Both sexes,431.2169,,Americas
Cyprus,,,2019,Both sexes,284.164,,Europe
Czechia,,,2019,Both sexes,416.7531,,Europe
Germany,,,2019,Both sexes,329.293,,Europe
Djibouti,,,2019,Both sexes,610.9455,,Eastern Mediterranean
Denmark,,,2019,Both sexes,342.9413,,Europe
Dominican Republic,,,2019,Both sexes,506.4565,,Americas
Algeria,,,2019,Both sexes,445.7562,,Africa
Ecuador,,,2019,Both sexes,364.6559,,Americas
Egypt,,,2019,Both sexes,733.7957,,Eastern Mediterranean
Eritrea,,,2019,Both sexes,713.5643,,Africa
Spain,,,2019,Both sexes,282.0769,,Europe
Estonia,,,2019,Both sexes,426.4981,,Europe
Ethiopia,,,2019,Both sexes,511.2582,,Africa
Finland,,,2019,Both sexes,334.3098,,Europe
Fiji,,,2019,Both sexes,923.4328,,Western Pacific
France,,,2019,Both sexes,290.0675,,Europe
Micronesia (Federated States of),,,2019,Both sexes,1171.389,,Western Pacific
Gabon,,,2019,Both sexes,613.2721,,Africa
United Kingdom of Great Britain and Northern Ireland,,,2019,Both sexes,329.8761,,Europe
Georgia,,,2019,Both sexes,695.3605,,Europe
Ghana,,,2019,Both sexes,618.2837,,Africa
Guinea,,,2019,Both sexes,660.1686,,Africa
Gambia,,,2019,Both sexes,595.4962,,Africa
Guinea-Bissau,,,2019,Both sexes,672.0589,,Africa
Equatorial Guinea,,,2019,Both sexes,637.1171,,Africa
Greece,,,2019,Both sexes,329.0385,,Europe
Grenada,,,2019,Both sexes,617.9438,,Americas
Guatemala,,,2019,Both sexes,496.5364,,Americas
Guyana,,,2019,Both sexes,800.5491,,Americas
Honduras,,,2019,Both sexes,613.4653,,Americas
Croatia,,,2019,Both sexes,443.7244,,Europe
Haiti,,,2019,Both sexes,837.3337,,Americas
Hungary,,,2019,Both sexes,554.4997,,Europe
Indonesia,,,2019,Both sexes,660.7458,,South-East Asia
India,,,2019,Both sexes,558.4635,,South-East Asia
Ireland,,,2019,Both sexes,326.8401,,Europe
Iran (Islamic Republic of),,,2019,Both sexes,445.6564,,Eastern Mediterranean
Iraq,,,2019,Both sexes,610.7923,,Eastern Mediterranean
Iceland,,,2019,Both sexes,304.9298,,Europe
Israel,,,2019,Both sexes,285.2773,,Europe
Italy,,,2019,Both sexes,289.0596,,Europe
Jamaica,,,2019,Both sexes,454.3693,,Americas
Jordan,,,2019,Both sexes,441.2214,,Eastern Mediterranean
Japan,,,2019,Both sexes,235.3629,,Western Pacific
Kazakhstan,,,2019,Both sexes,620.8768,,Europe
Kenya,,,2019,Both sexes,587.0545,,Africa
Kyrgyzstan,,,2019,Both sexes,588.149,,Europe
Cambodia,,,2019,Both sexes,652.4398,,Western Pacific
Kiribati,,,2019,Both sexes,1281.429,,Western Pacific
Republic of Korea,,,2019,Both sexes,237.0526,,Western Pacific
Kuwait,,,2019,Both sexes,324.4085,,Eastern Mediterranean
Lao People's Democratic Republic,,,2019,Both sexes,699.9042,,Western Pacific
Lebanon,,,2019,Both sexes,526.887,,Eastern Mediterranean
Liberia,,,2019,Both sexes,506.4478,,Africa
Libya,,,2019,Both sexes,478.9978,,Eastern Mediterranean
Saint Lucia,,,2019,Both sexes,515.6624,,Americas
Sri Lanka,,,2019,Both sexes,466.6501,,South-East Asia
Lesotho,,,2019,Both sexes,1137.235,,Africa
Lithuania,,,2019,Both sexes,525.0189,,Europe
Luxembourg,,,2019,Both sexes,303.1368,,Europe
Latvia,,,2019,Both sexes,558.6684,,Europe
Morocco,,,2019,Both sexes,643.9508,,Eastern Mediterranean
Republic of Moldova,,,2019,Both sexes,637.9902,,Europe
Madagascar,,,2019,Both sexes,665.2159,,Africa
Maldives,,,2019,Both sexes,401.9516,,South-East Asia
Mexico,,,2019,Both sexes,464.8334,,Americas
North Macedonia,,,2019,Both sexes,733.6896,,Europe
Mali,,,2019,Both sexes,611.4052,,Africa
Malta,,,2019,Both sexes,314.681,,Europe
Myanmar,,,2019,Both sexes,673.7039,,South-East Asia
Montenegro,,,2019,Both sexes,603.134,,Europe
Mongolia,,,2019,Both sexes,939.1735,,Western Pacific
Mozambique,,,2019,Both sexes,778.6395,,Africa
Mauritania,,,2019,Both sexes,476.2181,,Africa
Mauritius,,,2019,Both sexes,581.4777,,Africa
Malawi,,,2019,Both sexes,589.8055,,Africa
Malaysia,,,2019,Both sexes,501.1372,,Western Pacific
Namibia,,,2019,Both sexes,627.8507,,Africa
Niger,,,2019,Both sexes,599.6858,,Africa
Nigeria,,,2019,Both sexes,530.1731,,Africa
Nicaragua,,,2019,Both sexes,546.8134,,Americas
Netherlands,,,2019,Both sexes,319.9304,,Europe
Norway,,,2019,Both sexes,291.3123,,Europe
Nepal,,,2019,Both sexes,602.6794,,South-East Asia
New Zealand,,,2019,Both sexes,308.857,,Western Pacific
Oman,,,2019,Both sexes,683.6013,,Eastern Mediterranean
Pakistan,,,2019,Both sexes,753.4131,,Eastern Mediterranean
Panama,,,2019,Both sexes,333.7239,,Americas
Peru,,,2019,Both sexes,302.7007,,Americas
Philippines,,,2019,Both sexes,713.631,,Western Pacific
Papua New Guinea,,,2019,Both sexes,837.5352,,Western Pacific
Poland,,,2019,Both sexes,441.6346,,Europe
Democratic People's Republic of Korea,,,2019,Both sexes,597.0314,,South-East Asia
Portugal,,,2019,Both sexes,317.5592,,Europe
Paraguay,,,2019,Both sexes,447.0504,,Americas
Qatar,,,2019,Both sexes,650.1274,,Eastern Mediterranean
Romania,,,2019,Both sexes,555.2721,,Europe
Russian Federation,,,2019,Both sexes,619.5153,,Europe
Rwanda,,,2019,Both sexes,579.0164,,Africa
Saudi Arabia,,,2019,Both sexes,558.053,,Eastern Mediterranean
Sudan,,,2019,Both sexes,625.6681,,Eastern Mediterranean
Senegal,,,2019,Both sexes,551.3592,,Africa
Singapore,,,2019,Both sexes,234.8398,,Western Pacific
Solomon Islands,,,2019,Both sexes,909.0732,,Western Pacific
Sierra Leone,,,2019,Both sexes,636.3089,,Africa
El Salvador,,,2019,Both sexes,392.6714,,Americas
Somalia,,,2019,Both sexes,769.1506,,Eastern Mediterranean
Serbia,,,2019,Both sexes,600.8104,,Europe
South Sudan,,,2019,Both sexes,481.0701,,Africa
Sao Tome and Principe,,,2019,Both sexes,613.2271,,Africa
Suriname,,,2019,Both sexes,665.3646,,Americas
Slovakia,,,2019,Both sexes,441.7813,,Europe
Slovenia,,,2019,Both sexes,339.7941,,Europe
Sweden,,,2019,Both sexes,300.5463,,Europe
Eswatini,,,2019,Both sexes,917.1078,,Africa
Seychelles,,,2019,Both sexes,569.9074,,Africa
Syrian Arab Republic,,,2019,Both sexes,633.5135,,Eastern Mediterranean
Chad,,,2019,Both sexes,626.21,,Africa
Togo,,,2019,Both sexes,649.4303,,Africa
Thailand,,,2019,Both sexes,362.563,,South-East Asia
Tajikistan,,,2019,Both sexes,876.12,,Europe
Turkmenistan,,,2019,Both sexes,668.159,,Europe
Timor-Leste,,,2019,Both sexes,570.3933,,South-East Asia
Tonga,,,2019,Both sexes,624.7742,,Western Pacific
Trinidad and Tobago,,,2019,Both sexes,438.9595,,Americas
Tunisia,,,2019,Both sexes,462.4613,,Eastern Mediterranean
Turkey,,,2019,Both sexes,436.8309,,Europe
United Republic of Tanzania,,,2019,Both sexes,496.4681,,Africa
Uganda,,,2019,Both sexes,572.2314,,Africa
Ukraine,,,2019,Both sexes,649.0498,,Europe
Uruguay,,,2019,Both sexes,445.2019,,Americas
United States of America,,,2019,Both sexes,407.882,,Americas
Uzbekistan,,,2019,Both sexes,673.0668,,Europe
Saint Vincent and the Grenadines,,,2019,Both sexes,537.206,,Americas
Venezuela (Bolivarian Republic of),,,2019,Both sexes,411.264,,Americas
Viet Nam,,,2019,Both sexes,569.4175,,Western Pacific
Vanuatu,,,2019,Both sexes,986.3082,,Western Pacific
Samoa,,,2019,Both sexes,765.6934,,Western Pacific
Yemen,,,2019,Both sexes,717.1033,,Eastern Mediterranean
South Africa,,,2019,Both sexes,618.3997,,Africa
Zambia,,,2019,Both sexes,679.4242,,Africa
Zimbabwe,,,2019,Both sexes,734.978,,Africa
,Africa,,2019,Both sexes,587.145,,
,Americas,,2019,Both sexes,410.8346,,
,Eastern Mediterranean,,2019,Both sexes,649.7101,,
,Europe,,2019,Both sexes,427.1472,,
,,High-income,2019,Both sexes,338.1275,,
,,Low-income,2019,Both sexes,640.3605,,
,,Lower-middle-income,2019,Both sexes,588.9854,,
,South-East Asia,,2019,Both sexes,554.6051,,
,,Upper-middle-income,2019,Both sexes,495.9697,,
,Global,,2019,Both sexes,478.7615,,
,Western Pacific,,2019,Both sexes,443.7806,,
