Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
Norway,,,2019,Both sexes,291.3123,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,NOR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,7.86,,,4.89,,11.43,8 [5-11],,,EN,2024-10-02T22:00:00.000Z
Oman,,,2019,Both sexes,683.6013,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,OMN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,104.1,,,72.45,,131.7,104 [72-132],,,EN,2024-10-02T22:00:00.000Z
Pakistan,,,2019,Both sexes,753.4131,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,PAK,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,106.7,,,82.3,,131.6,107 [82-132],,,EN,2024-10-02T22:00:00.000Z
Panama,,,2019,Both sexes,333.7239,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,PAN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,17.33,,,11.33,,23.41,17 [11-23],,,EN,2024-10-02T22:00:00.000Z
Papua New Guinea,,,2019,Both sexes,837.5352,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,PNG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,37.78,,,2.31,,75.07,38 [2-75],,,EN,2024-10-02T22:00:00.000Z
Paraguay,,,2019,Both sexes,447.0504,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,PRY,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,24.68,,,16.29,,34.34,25 [16-34],,,EN,2024-10-02T22:00:00.000Z
Peru,,,2019,Both sexes,302.7007,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,PER,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,25.91,,,19.78,,32.28,26 [20-32],,,EN,2024-10-02T22:00:00.000Z
Philippines,,,2019,Both sexes,713.631,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,PHL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,91.78,,,69.3,,114.8,92 [69-115],,,EN,2024-10-02T22:00:00.000Z
Poland,,,2019,Both sexes,441.6346,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,POL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,40.93,,,30.4,,50.47,41 [30-50],,,EN,2024-10-02T22:00:00.000Z
Portugal,,,2019,Both sexes,317.5592,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,PRT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10.0,,,6.74,,13.78,10 [7-14],,,EN,2024-10-02T22:00:00.000Z
Qatar,,,2019,Both sexes,650.1274,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,QAT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,90.81,,,70.2,,109.5,91 [70-109],,,EN,2024-10-02T22:00:00.000Z
Republic of Korea,,,2019,Both sexes,237.0526,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,KOR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,18.89,,,15.1,,22.84,19 [15-23],,,EN,2024-10-02T22:00:00.000Z
Republic of Moldova,,,2019,Both sexes,637.9902,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,MDA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,58.2,,,38.12,,77.14,58 [38-77],,,EN,2024-10-02T22:00:00.000Z
Romania,,,2019,Both sexes,555.2721,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,ROU,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,45.98,,,32.88,,58.56,46 [33-59],,,EN,2024-10-02T22:00:00.000Z
Russian Federation,,,2019,Both sexes,619.5153,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,RUS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,39.32,,,23.69,,55.77,39 [24-56],,,EN,2024-10-02T22:00:00.000Z
Rwanda,,,2019,Both sexes,579.0164,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,RWA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,63.17,,,33.99,,91.89,63 [34-92],,,EN,2024-10-02T22:00:00.000Z
Saint Lucia,,,2019,Both sexes,515.6624,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,LCA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,19.96,,,12.09,,28.9,20 [12-29],,,EN,2024-10-02T22:00:00.000Z
Saint Vincent and the Grenadines,,,2019,Both sexes,537.206,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,VCT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,24.99,,,15.02,,35.0,25 [15-35],,,EN,2024-10-02T22:00:00.000Z
Samoa,,,2019,Both sexes,765.6934,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,WSM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,33.91,,,0.0,,71.49,34 [0-71],,,EN,2024-10-02T22:00:00.000Z
Sao Tome and Principe,,,2019,Both sexes,613.2271,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,STP,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,85.77,,,57.42,,119.5,86 [57-119],,,EN,2024-10-02T22:00:00.000Z
Saudi Arabia,,,2019,Both sexes,558.053,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,SAU,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,91.17,,,70.41,,112.3,91 [70-112],,,EN,2024-10-02T22:00:00.000Z
Senegal,,,2019,Both sexes,551.3592,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,SEN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,65.44,,,47.7,,83.29,65 [48-83],,,EN,2024-10-02T22:00:00.000Z
Serbia,,,2019,Both sexes,600.8104,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,SRB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,45.42,,,34.43,,55.89,45 [34-56],,,EN,2024-10-02T22:00:00.000Z
Seychelles,,,2019,Both sexes,569.9074,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,SYC,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,43.14,,,30.37,,58.22,43 [30-58],,,EN,2024-10-02T22:00:00.000Z
Sierra Leone,,,2019,Both sexes,636.3089,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,SLE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,97.95,,,64.39,,132.3,98 [64-132],,,EN,2024-10-02T22:00:00.000Z
Singapore,,,2019,Both sexes,234.8398,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,SGP,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,23.42,,,15.81,,31.51,23 [16-32],,,EN,2024-10-02T22:00:00.000Z
Slovakia,,,2019,Both sexes,441.7813,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,SVK,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,30.37,,,22.28,,37.99,30 [22-38],,,EN,2024-10-02T22:00:00.000Z
Slovenia,,,2019,Both sexes,339.7941,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,SVN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,18.76,,,13.79,,23.52,19 [14-24],,,EN,2024-10-02T22:00:00.000Z
Solomon Islands,,,2019,Both sexes,909.0732,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,SLB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,57.08,,,0.0,,107.5,57 [0-108],,,EN,2024-10-02T22:00:00.000Z
Somalia,,,2019,Both sexes,769.1506,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,SOM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,66.06,,,36.23,,100.1,66 [36-100],,,EN,2024-10-02T22:00:00.000Z
South Africa,,,2019,Both sexes,618.3997,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,ZAF,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,47.17,,,35.95,,58.99,47 [36-59],,,EN,2024-10-02T22:00:00.000Z
South Sudan,,,2019,Both sexes,481.0701,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,SSD,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,43.7,,,25.64,,64.14,44 [26-64],,,EN,2024-10-02T22:00:00.000Z
Spain,,,2019,Both sexes,282.0769,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,ESP,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10.12,,,7.09,,13.32,10 [7-13],,,EN,2024-10-02T22:00:00.000Z
Sri Lanka,,,2019,Both sexes,466.6501,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,LKA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,37.12,,,26.48,,48.01,37 [26-48],,,EN,2024-10-02T22:00:00.000Z
Sudan,,,2019,Both sexes,625.6681,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,SDN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,70.52,,,43.13,,96.89,71 [43-97],,,EN,2024-10-02T22:00:00.000Z
Suriname,,,2019,Both sexes,665.3646,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,SUR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,39.01,,,20.69,,56.73,39 [21-57],,,EN,2024-10-02T22:00:00.000Z
Sweden,,,2019,Both sexes,300.5463,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,SWE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,8.08,,,4.94,,11.33,8 [5-11],,,EN,2024-10-02T22:00:00.000Z
Switzerland,,,2019,Both sexes,269.5769,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,CHE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10.4,,,6.9,,13.66,10 [7-14],,,EN,2024-10-02T22:00:00.000Z
Syrian Arab Republic,,,2019,Both sexes,633.5135,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,SYR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,83.24,,,60.8,,104.2,83 [61-104],,,EN,2024-10-02T22:00:00.000Z
Tajikistan,,,2019,Both sexes,876.12,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,TJK,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,159.6,,,119.5,,200.0,160 [119-200],,,EN,2024-10-02T22:00:00.000Z
Thailand,,,2019,Both sexes,362.563,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,THA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,29.07,,,23.08,,35.48,29 [23-35],,,EN,2024-10-02T22:00:00.000Z
Timor-Leste,,,2019,Both sexes,570.3933,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,TLS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,61.18,,,33.37,,95.62,61 [33-96],,,EN,2024-10-02T22:00:00.000Z
Togo,,,2019,Both sexes,649.4303,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,TGO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,92.36,,,65.21,,119.4,92 [65-119],,,EN,2024-10-02T22:00:00.000Z
Tonga,,,2019,Both sexes,624.7742,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,TON,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,23.87,,,0.0,,39.99,24 [0-40],,,EN,2024-10-02T22:00:00.000Z
Trinidad and Tobago,,,2019,Both sexes,438.9595,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,TTO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,19.78,,,12.71,,26.4,20 [13-26],,,EN,2024-10-02T22:00:00.000Z
Tunisia,,,2019,Both sexes,462.4613,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,TUN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,54.86,,,39.67,,69.86,55 [40-70],,,EN,2024-10-02T22:00:00.000Z
Turkmenistan,,,2019,Both sexes,668.159,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,TKM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,87.03,,,61.8,,112.0,87 [62-112],,,EN,2024-10-02T22:00:00.000Z
Uganda,,,2019,Both sexes,572.2314,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,UGA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,60.71,,,41.58,,81.57,61 [42-82],,,EN,2024-10-02T22:00:00.000Z
Ukraine,,,2019,Both sexes,649.0498,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,UKR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,66.0,,,40.12,,88.62,66 [40-89],,,EN,2024-10-02T22:00:00.000Z
United Arab Emirates,,,2019,Both sexes,528.3586,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,ARE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,70.04,,,55.14,,85.04,70 [55-85],,,EN,2024-10-02T22:00:00.000Z
United Kingdom of Great Britain and Northern Ireland,,,2019,Both sexes,329.8761,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,GBR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,13.45,,,9.46,,17.96,13 [9-18],,,EN,2024-10-02T22:00:00.000Z
United Republic of Tanzania,,,2019,Both sexes,496.4681,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,TZA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,36.28,,,23.67,,49.93,36 [24-50],,,EN,2024-10-02T22:00:00.000Z
United States of America,,,2019,Both sexes,407.882,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,USA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,14.22,,,8.84,,19.88,14 [9-20],,,EN,2024-10-02T22:00:00.000Z
Uruguay,,,2019,Both sexes,445.2019,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,URY,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,16.18,,,10.28,,22.41,16 [10-22],,,EN,2024-10-02T22:00:00.000Z
Uzbekistan,,,2019,Both sexes,673.0668,,Europe,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EUR,Europe,Country,UZB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,117.1,,,86.16,,147.0,117 [86-147],,,EN,2024-10-02T22:00:00.000Z
Vanuatu,,,2019,Both sexes,986.3082,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,VUT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,56.75,,,0.0,,111.6,57 [0-112],,,EN,2024-10-02T22:00:00.000Z
Venezuela (Bolivarian Republic of),,,2019,Both sexes,411.264,,Americas,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AMR,Americas,Country,VEN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,32.41,,,22.39,,41.93,32 [22-42],,,EN,2024-10-02T22:00:00.000Z
Viet Nam,,,2019,Both sexes,569.4175,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,VNM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,52.08,,,38.75,,67.22,52 [39-67],,,EN,2024-10-02T22:00:00.000Z
Yemen,,,2019,Both sexes,717.1033,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,YEM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,110.8,,,69.77,,158.5,111 [70-159],,,EN,2024-10-02T22:00:00.000Z
Zambia,,,2019,Both sexes,679.4242,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,ZMB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,50.85,,,26.14,,79.24,51 [26-79],,,EN,2024-10-02T22:00:00.000Z
Zimbabwe,,,2019,Both sexes,734.978,,Africa,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,AFR,Africa,Country,ZWE,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,56.3,,,28.97,,85.72,56 [29-86],,,EN,2024-10-02T22:00:00.000Z
